U+2A976	𪥶	nvbang
U+2A977	𪥷	bonv
U+2A978	𪥸	wuhao
U+2A979	𪥹	nvshan
U+2A97A	𪥺	linv
U+2A97B	𪥻	jianfa
U+2A97C	𪥼	nvqi
U+2A97D	𪥽	nvchang
U+2A97E	𪥾	nvge
U+2A97F	𪥿	nvmai
U+2A980	𪦀	nvfang
U+2A981	𪦁	nvkao
U+2A982	𪦂	nvda
U+2A983	𪦃	nvdian
U+2A984	𪦄	nvchong
U+2A985	𪦅	nvkou
U+2A986	𪦆	nvzhi
U+2A987	𪦇	nvfeng
U+2A988	𪦈	nvyan
U+2A989	𪦉	nvjiu
U+2A98A	𪦊	nve
U+2A98B	𪦋	nvduan
U+2A98C	𪦌	nvzi
U+2A98D	𪦍	wangguang
U+2A98E	𪦎	nvyan
U+2A98F	𪦏	nvji
U+2A990	𪦐	nvwen
U+2A991	𪦑	chennv
U+2A992	𪦒	nvqian
U+2A993	𪦓	nvmian
U+2A994	𪦔	nvcang
U+2A995	𪦕	nvdie
U+2A996	𪦖	nvmu
U+2A997	𪦗	nvnv
U+2A998	𪦘	nvhe
U+2A999	𪦙	nvwo
U+2A99A	𪦚	nvbai
U+2A99B	𪦛	nvtian
U+2A99C	𪦜	nvzhu
U+2A99D	𪦝	nvshu
U+2A99E	𪦞	nvxi
U+2A99F	𪦟	haoyu
U+2A9A0	𪦠	yunv
U+2A9A1	𪦡	nvci
U+2A9A2	𪦢	nvjin
U+2A9A3	𪦣	nvran
U+2A9A4	𪦤	nvsi
U+2A9A5	𪦥	sinv
U+2A9A6	𪦦	nvcong
U+2A9A7	𪦧	nvyong
U+2A9A8	𪦨	nvshu
U+2A9A9	𪦩	nvwen
U+2A9AA	𪦪	nvyue
U+2A9AB	𪦫	nvge
U+2A9AC	𪦬	nvxian
U+2A9AD	𪦭	guwu
U+2A9AE	𪦮	nvtian
U+2A9AF	𪦯	nvying
U+2A9B0	𪦰	nve
U+2A9B1	𪦱	nvying
U+2A9B2	𪦲	shimai
U+2A9B3	𪦳	nver
U+2A9B4	𪦴	nvjian
U+2A9B5	𪦵	zhennv
U+2A9B6	𪦶	zizhi
U+2A9B7	𪦷	zige
U+2A9B8	𪦸	ziliu
U+2A9B9	𪦹	ziwen
U+2A9BA	𪦺	zibai
U+2A9BB	𪦻	hezi
U+2A9BC	𪦼	zide
U+2A9BD	𪦽	huzi
U+2A9BE	𪦾	ziba
U+2A9BF	𪦿	zishi
U+2A9C0	𪧀	ziying
U+2A9C1	𪧁	zizhi
U+2A9C2	𪧂	chenzi
U+2A9C3	𪧃	xiangzhong
U+2A9C4	𪧄	guwei
U+2A9C5	𪧅	gaishan
U+2A9C6	𪧆	gaichi
U+2A9C7	𪧇	gaipan
U+2A9C8	𪧈	gaitian
U+2A9C9	𪧉	gaizhen
U+2A9CA	𪧊	gaikou
U+2A9CB	𪧋	gainv
U+2A9CC	𪧌	gaimu
U+2A9CD	𪧍	wanxia
U+2A9CE	𪧎	gaizu
U+2A9CF	𪧏	gaihuo
U+2A9D0	𪧐	gaibo
U+2A9D1	𪧑	gaidian
U+2A9D2	𪧒	gaige
U+2A9D3	𪧓	gaibo
U+2A9D4	𪧔	gaili
U+2A9D5	𪧕	gaifou
U+2A9D6	𪧖	gaihuo
U+2A9D7	𪧗	gaitian
U+2A9D8	𪧘	gailou
U+2A9D9	𪧙	gainv
U+2A9DA	𪧚	zishou
U+2A9DB	𪧛	gaixiao
U+2A9DC	𪧜	gaiao
U+2A9DD	𪧝	gaihuo
U+2A9DE	𪧞	gaimei
U+2A9DF	𪧟	gaiyong
U+2A9E0	𪧠	gaiqie
U+2A9E1	𪧡	zhishou
U+2A9E2	𪧢	gaiyi
U+2A9E3	𪧣	gaishui
U+2A9E4	𪧤	gaiwen
U+2A9E5	𪧥	gaifou
U+2A9E6	𪧦	gaishui
U+2A9E7	𪧧	gaizhi
U+2A9E8	𪧨	gaizui
U+2A9E9	𪧩	gainv
U+2A9EA	𪧪	gaisi
U+2A9EB	𪧫	gaima
U+2A9EC	𪧬	gaifou
U+2A9ED	𪧭	gaixin
U+2A9EE	𪧮	gaige
U+2A9EF	𪧯	gaisuan
U+2A9F0	𪧰	fuyou
U+2A9F1	𪧱	hanji
U+2A9F2	𪧲	gaishou
U+2A9F3	𪧳	gaili
U+2A9F4	𪧴	gaiyi
U+2A9F5	𪧵	gainv
U+2A9F6	𪧶	gaijian
U+2A9F7	𪧷	xicun
U+2A9F8	𪧸	sishi
U+2A9F9	𪧹	qiacun
U+2A9FA	𪧺	shicun
U+2A9FB	𪧻	sheban
U+2A9FC	𪧼	xuecun
U+2A9FD	𪧽	bucun
U+2A9FE	𪧾	xuncui
U+2A9FF	𪧿	neixiao
U+2AA00	𪨀	xiaochu
U+2AA01	𪨁	fuxiao
U+2AA02	𪨂	erxiao
U+2AA03	𪨃	xiaozu
U+2AA04	𪨄	shaopin
U+2AA05	𪨅	xiaozhi
U+2AA06	𪨆	shaowei
U+2AA07	𪨇	wugui
U+2AA08	𪨈	yousui
U+2AA09	𪨉	shishan
U+2AA0A	𪨊	shicong
U+2AA0B	𪨋	shiren
U+2AA0C	𪨌	shiqi
U+2AA0D	𪨍	shishu
U+2AA0E	𪨎	chijia
U+2AA0F	𪨏	shibu
U+2AA10	𪨐	jintai
U+2AA11	𪨑	chiche
U+2AA12	𪨒	shijin
U+2AA13	𪨓	shigao
U+2AA14	𪨔	shijian
U+2AA15	𪨕	weichu
U+2AA16	𪨖	weijia
U+2AA17	𪨗	shiqiao
U+2AA18	𪨘	shikou
U+2AA19	𪨙	weizuo
U+2AA1A	𪨚	pingzhu
U+2AA1B	𪨛	pingzhi
U+2AA1C	𪨜	chishu
U+2AA1D	𪨝	weixiang
U+2AA1E	𪨞	lvza
U+2AA1F	𪨟	weipu
U+2AA20	𪨠	lvban
U+2AA21	𪨡	shizu
U+2AA22	𪨢	shanxia
U+2AA23	𪨣	shanqi
U+2AA24	𪨤	xiaoshan
U+2AA25	𪨥	shanye
U+2AA26	𪨦	shanqi
U+2AA27	𪨧	shanlun
U+2AA28	𪨨	shanbian
U+2AA29	𪨩	shanya
U+2AA2A	𪨪	shance
U+2AA2B	𪨫	shanmao
U+2AA2C	𪨬	shanxuan
U+2AA2D	𪨭	shanhong
U+2AA2E	𪨮	shanhong
U+2AA2F	𪨯	chengshan
U+2AA30	𪨰	shanqu
U+2AA31	𪨱	shanzhao
U+2AA32	𪨲	shanfou
U+2AA33	𪨳	shanxing
U+2AA34	𪨴	shanzhu
U+2AA35	𪨵	jishan
U+2AA36	𪨶	shanche
U+2AA37	𪨷	shanyan
U+2AA38	𪨸	shanchui
U+2AA39	𪨹	shanguo
U+2AA3A	𪨺	shanleng
U+2AA3B	𪨻	shanmin
U+2AA3C	𪨼	shannai
U+2AA3D	𪨽	shantu
U+2AA3E	𪨾	shanshou
U+2AA3F	𪨿	shandian
U+2AA40	𪩀	shanhu
U+2AA41	𪩁	shanzu
U+2AA42	𪩂	shannan
U+2AA43	𪩃	shanshi
